orb_index = 23, gpp_a = 2.95851e-05
orb_index = 24, gpp_a = 3.10721e-05
orb_index = 25, gpp_a = 3.07733e-05
orb_index = 26, gpp_a = 3.1202e-05
orb_index = 27, gpp_a = 3.03907e-05
orb_index = 28, gpp_a = 3.09996e-05
orb_index = 29, gpp_a = 3.11129e-05
orb_index = 30, gpp_a = 2.83265e-05
orb_index = 31, gpp_a = 2.82191e-05
orb_index = 32, gpp_a = 2.81982e-05
orb_index = 33, gpp_a = 2.81933e-05
orb_index = 34, gpp_a = 2.67009e-05
orb_index = 35, gpp_a = 2.66934e-05
orb_index = 36, gpp_a = 2.66631e-05
orb_index = 37, gpp_a = 2.66235e-05
orb_index = 38, gpp_a = 2.66596e-05
orb_index = 39, gpp_a = 2.66589e-05
orb_index = 40, gpp_a = 2.66506e-05
orb_index = 41, gpp_a = 2.65852e-05
orb_index = 42, gpp_a = 2.65629e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -19.995, A_a =  280.520908176
 orb_index = 0, gpp_a = 0.836374
orb_index = 1, gpp_a = 0.865753
orb_index = 2, gpp_a = 1.09675
orb_index = 3, gpp_a = 1.63305
orb_index = 4, gpp_a = 11.975
orb_index = 5, gpp_a = 9.05278
orb_index = 6, gpp_a = 13.333
orb_index = 7, gpp_a = 13.2704
orb_index = 8, gpp_a = 14.6496
orb_index = 9, gpp_a = 25.6597
orb_index = 10, gpp_a = 78.8505
orb_index = 11, gpp_a = 57.9226
orb_index = 12, gpp_a = 24.344
orb_index = 13, gpp_a = 12.5
orb_index = 14, gpp_a = 6.33316
orb_index = 15, gpp_a = 4.68195
orb_index = 16, gpp_a = 1.23681
orb_index = 17, gpp_a = 2.90642e-05
orb_index = 18, gpp_a = 2.90538e-05
orb_index = 19, gpp_a = 2.90638e-05
orb_index = 20, gpp_a = 2.9192e-05
orb_index = 21, gpp_a = 3.16396e-05
orb_index = 22, gpp_a = 3.18074e-05
orb_index = 23, gpp_a = 2.95409e-05
orb_index = 24, gpp_a = 3.10332e-05
orb_index = 25, gpp_a = 3.07272e-05
orb_index = 26, gpp_a = 3.10924e-05
orb_index = 27, gpp_a = 3.02835e-05
orb_index = 28, gpp_a = 3.12214e-05
orb_index = 29, gpp_a = 3.1168e-05
orb_index = 30, gpp_a = 2.83304e-05
orb_index = 31, gpp_a = 2.82199e-05
orb_index = 32, gpp_a = 2.81968e-05
orb_index = 33, gpp_a = 2.81968e-05
