orb_index = 1, gpp_a = 0.205969
orb_index = 2, gpp_a = 0.120215
orb_index = 3, gpp_a = 0.104239
orb_index = 4, gpp_a = 0.0988192
orb_index = 5, gpp_a = 2.91736e-05
orb_index = 6, gpp_a = 2.91636e-05
orb_index = 7, gpp_a = 2.88967e-05
orb_index = 8, gpp_a = 2.87551e-05
orb_index = 9, gpp_a = 2.8723e-05
orb_index = 10, gpp_a = 2.67007e-05
orb_index = 11, gpp_a = 2.66748e-05
orb_index = 12, gpp_a = 2.66363e-05
orb_index = 13, gpp_a = 2.65263e-05
orb_index = 14, gpp_a = 2.6462e-05
orb_index = 15, gpp_a = 2.64247e-05
orb_index = 16, gpp_a = 2.63169e-05
orb_index = 17, gpp_a = 2.62314e-05
orb_index = 18, gpp_a = 2.61934e-05
orb_index = 19, gpp_a = 4.38623e-09
orb_index = 20, gpp_a = 1.62409e-09
orb_index = 21, gpp_a = 3.77942e-08
orb_index = 22, gpp_a = -1.72009e-10
orb_index = 23, gpp_a = -1.15383e-11
orb_index = 24, gpp_a = -2.43243e-11
w = -19.989, A_a =  0.74285846248
 orb_index = 0, gpp_a = 0.215345
orb_index = 1, gpp_a = 0.207975
orb_index = 2, gpp_a = 0.121111
orb_index = 3, gpp_a = 0.104962
orb_index = 4, gpp_a = 0.0994878
orb_index = 5, gpp_a = 2.91806e-05
orb_index = 6, gpp_a = 2.91703e-05
orb_index = 7, gpp_a = 2.89014e-05
orb_index = 8, gpp_a = 2.87596e-05
orb_index = 9, gpp_a = 2.87273e-05
orb_index = 10, gpp_a = 2.67034e-05
orb_index = 11, gpp_a = 2.66776e-05
orb_index = 12, gpp_a = 2.66391e-05
orb_index = 13, gpp_a = 2.6529e-05
orb_index = 14, gpp_a = 2.64647e-05
orb_index = 15, gpp_a = 2.64277e-05
orb_index = 16, gpp_a = 2.63198e-05
orb_index = 17, gpp_a = 2.62342e-05
orb_index = 18, gpp_a = 2.61962e-05
orb_index = 19, gpp_a = 4.41535e-09
orb_index = 20, gpp_a = 1.63489e-09
orb_index = 21, gpp_a = 3.80689e-08
orb_index = 22, gpp_a = -1.59868e-10
orb_index = 23, gpp_a = -1.11369e-11
orb_index = 24, gpp_a = -2.42448e-11
w = -19.988, A_a =  0.749264910848
 orb_index = 0, gpp_a = 0.217489
orb_index = 1, gpp_a = 0.210011
orb_index = 2, gpp_a = 0.122017
orb_index = 3, gpp_a = 0.105693
orb_index = 4, gpp_a = 0.100163
orb_index = 5, gpp_a = 2.91875e-05
orb_index = 6, gpp_a = 2.91771e-05
orb_index = 7, gpp_a = 2.89062e-05
orb_index = 8, gpp_a = 2.8764e-05
orb_index = 9, gpp_a = 2.87317e-05
orb_index = 10, gpp_a = 2.67062e-05
orb_index = 11, gpp_a = 2.66804e-05
orb_index = 12, gpp_a = 2.66418e-05
orb_index = 13, gpp_a = 2.65318e-05
orb_index = 14, gpp_a = 2.64675e-05
orb_index = 15, gpp_a = 2.64306e-05
orb_index = 16, gpp_a = 2.63228e-05
orb_index = 17, gpp_a = 2.6237e-05
orb_index = 18, gpp_a = 2.6199e-05
orb_index = 19, gpp_a = 4.44478e-09
orb_index = 20, gpp_a = 1.6458e-09
orb_index = 21, gpp_a = 3.83466e-08
orb_index = 22, gpp_a = -1.47597e-10
orb_index = 23, gpp_a = -1.07309e-11
orb_index = 24, gpp_a = -2.41644e-11
w = -19.987, A_a =  0.755756707874
 orb_index = 0, gpp_a = 0.219665
orb_index = 1, gpp_a = 0.212076
orb_index = 2, gpp_a = 0.122934
