orb_index = 19, gpp_a = 2.12937e-10
orb_index = 20, gpp_a = 6.45817e-11
orb_index = 21, gpp_a = 6.51527e-11
orb_index = 22, gpp_a = 1.99173e-11
orb_index = 23, gpp_a = 1.35265e-11
orb_index = 24, gpp_a = 2.6703e-09
orb_index = 25, gpp_a = 1.62086e-09
orb_index = 26, gpp_a = 3.66895e-09
orb_index = 27, gpp_a = 1.50594e-09
orb_index = 28, gpp_a = 1.35563e-09
orb_index = 29, gpp_a = 1.03502e-09
orb_index = 30, gpp_a = 1.02088e-09
orb_index = 31, gpp_a = 3.66813e-10
orb_index = 32, gpp_a = 2.34441e-10
orb_index = 33, gpp_a = 3.68546e-11
orb_index = 34, gpp_a = 1.00762e-09
orb_index = 35, gpp_a = 6.67699e-11
orb_index = 36, gpp_a = 2.64665e-11
orb_index = 37, gpp_a = 1.39294e-12
orb_index = 38, gpp_a = 1.50034e-12
orb_index = 39, gpp_a = 1.63732e-13
w = -19.796, A_a =  0.0468481457379
 orb_index = 0, gpp_a = 0.0130983
orb_index = 1, gpp_a = 0.0129703
orb_index = 2, gpp_a = 0.00447167
orb_index = 3, gpp_a = 0.00276985
orb_index = 4, gpp_a = 0.00275856
orb_index = 5, gpp_a = 0.00359507
orb_index = 6, gpp_a = 0.00365023
orb_index = 7, gpp_a = 0.0035667
orb_index = 8, gpp_a = 2.96559e-05
orb_index = 9, gpp_a = 2.96309e-05
orb_index = 10, gpp_a = 2.32512e-08
orb_index = 11, gpp_a = 1.68044e-08
orb_index = 12, gpp_a = 1.53618e-08
orb_index = 13, gpp_a = 1.90193e-08
orb_index = 14, gpp_a = 1.9294e-08
orb_index = 15, gpp_a = 1.88187e-08
orb_index = 16, gpp_a = 4.3348e-12
orb_index = 17, gpp_a = 1.61926e-13
orb_index = 18, gpp_a = 4.38919e-14
orb_index = 19, gpp_a = 2.13419e-10
orb_index = 20, gpp_a = 6.4686e-11
orb_index = 21, gpp_a = 6.52838e-11
orb_index = 22, gpp_a = 1.99465e-11
orb_index = 23, gpp_a = 1.35472e-11
orb_index = 24, gpp_a = 2.67662e-09
orb_index = 25, gpp_a = 1.62373e-09
orb_index = 26, gpp_a = 3.67867e-09
orb_index = 27, gpp_a = 1.50871e-09
orb_index = 28, gpp_a = 1.35776e-09
orb_index = 29, gpp_a = 1.03653e-09
orb_index = 30, gpp_a = 1.02228e-09
orb_index = 31, gpp_a = 3.67339e-10
orb_index = 32, gpp_a = 2.3479e-10
orb_index = 33, gpp_a = 3.69045e-11
orb_index = 34, gpp_a = 1.00896e-09
orb_index = 35, gpp_a = 6.68573e-11
orb_index = 36, gpp_a = 2.65019e-11
orb_index = 37, gpp_a = 1.39479e-12
orb_index = 38, gpp_a = 1.50219e-12
orb_index = 39, gpp_a = 1.64088e-13
w = -19.795, A_a =  0.0469401032482
 orb_index = 0, gpp_a = 0.00840512
